"ID"	"RT"	"MZ"	"Metabolite name"	"MSMS"	"LabeledID"	"ExchangeNumber"
36	9.03	72.0808	"Unknown"	"51.64378:2384 55.05452:67224 56.04975:2286 57.05754:24472 69.33077:2175 70.14606:2265 72.04449:5224 72.08079:3004192"	NA	NA
39	7.37	74.0964	"Unknown"	"55.44016:28171 56.04979:35633 57.06958:24042 57.19467:23547 73.32505:24991 74.09644:16243374"	"140;113"	"6;4"
40	6.58	74.0964	"Unknown"	"50.72786:21268 63.7323:16837 64.49126:20052 74.06015:32196 74.09644:12075730"	"132;146;81;95;147;114"	"5;6;2;3;6;4"
41	6.89	74.0964	"Unknown"	"51.5319:20666 59.65511:17840 63.03758:17555 69.89262:26502 74.06002:25926 74.09643:13786932"	"95;147;114;82;93;110;130"	"3;6;4;2;3;4;5"
42	8.5	74.0964	"Unknown"	"54.55029:21373 56.36241:24307 66.60878:19932 74.05999:29880 74.09644:14130274"	"116;128;142;129;145"	"4;5;6;5;6"
43	7.58	74.0964	"Unknown"	"53.63815:29764 54.23009:29472 70.27864:34644 71.58871:40851 74.09645:22193572"	"140;113;141;122;100;112"	"6;4;6;5;3;4"
44	1.04	74.0964	"Unknown"	"57.07017:12582 57.64699:9447 64.66745:10132 74.06004:51160 74.09645:7426289"	"70;72;74"	"2;2;2"
45	6.09	74.0964	"Unknown"	"59.22757:26750 59.84814:26740 70.53459:23289 74.09641:16466922"	"77"	"2"
46	1.4	74.0964	"Unknown"	"50.1661:12301 52.09953:12119 65.57536:13084 74.06009:50991 74.09644:7544470"	"75;124;79;126;144"	"2;5;2;5;6"
47	4.98	74.0964	"Unknown"	"57.07041:14240 58.63221:10920 74.06017:22943 74.09641:7617432"	"78;125;86;87"	"2;5;2;2"
48	4.25	74.0964	"Unknown"	"57.07022:23761 59.09619:16435 59.37889:14619 63.81705:14074 64.46249:16952 65.40959:15699 74.06004:16339 74.09647:10207896"	"150;80"	"6;2"
49	6.03	74.0964	"Unknown"	"54.67805:20865 68.99433:23123 74.09645:13853455"	"77"	"2"
53	8.16	76.0393	"Glycine_[M+H]+_DHMQDGOQFOQNFH-UHFFFAOYSA-N"	"76.03935:67429 76.1031:12294"	"119;137;161;171"	"3;4;5;6"
55	5.29	76.0757	"TMAO_[M+H]+_UYPYRKYUKCHHIB-UHFFFAOYSA-N"	"51.17514:1676 58.06539:502929 59.0732:482848 64.91384:2408 76.0757:227917 76.10308:2557"	NA	NA
58	7.5	77.109	"Unknown"	"50.01546:61001 51.02328:114751 53.03891:44217 65.00254:2998 73.08086:30106 76.2878:5771 77.03886:95030 77.10902:5127776"	NA	NA
59	8.16	78.0518	"Unknown"	"78.05191:452060"	"119;137;161;171"	"1;2;3;4"
61	1.37	79.0212	"Unknown"	"58.04723:7184 59.96653:8402 61.01085:2454911 61.42047:5996 62.01865:622576 62.9901:284998 63.99787:7544839 79.02119:10620078"	NA	NA
63	8.03	79.0914	"Unknown"	"59.06855:71857 60.05263:26174 60.07481:506221 61.05883:103313 61.08107:462342 62.06507:122820 63.60238:1938 63.99797:13467 68.77384:1885 70.25734:1890 75.09648:2771 77.0568:2462 77.18266:1991 77.34908:2154 78.06295:30115 79.02135:21749 79.06923:129861 79.09142:903922"	NA	NA
66	1.14	80.0495	"Pyridine"	"53.0389:106847 62.09838:11471 62.10289:1955 79.04197:2647 79.18188:2925 79.7795:2376 79.98042:2366 80.04946:4683380 80.13079:4002 80.24881:2644"	"160"	"1"
68	7.49	80.131	"Unknown"	"58.07019:148843 60.07483:184450 60.08594:19710 60.73385:12249 61.0921:489048 62.08895:2036474 62.09835:9197241 63.09516:17292 80.04913:17622 80.13099:7542302"	NA	NA
69	3.93	80.1341	"Unknown"	"53.03874:2903 59.86687:2026 60.0779:13954 61.0842:66829 62.09199:97274 62.09534:4156 62.09815:4790 63.09666:37320 64.10294:48332 65.11076:99164 65.56733:2000 70.55128:2039 80.0495:168590 80.13409:1057877"	NA	NA
74	2.62	83.0603	"Unknown"	"51.53644:1731 55.0545:10453 56.04973:27561 56.85345:1971 67.71993:2213 69.38844:1758 83.06036:1018161"	NA	NA
75	7.98	83.0604	"4-Methyl-1H-pyrazole"	"54.45759:2841 55.05468:2821 56.04977:306135 57.8331:2258 64.94237:3072 77.39057:2420 82.05248:36260 83.06038:1724293"	"200"	"3"
76	8.56	84.0444	"Unknown"	"53.00256:5427 56.04979:608354 74.67654:3677 84.04444:1122958"	"185;197"	"1;2"
77	8.36	84.0444	"Unknown"	"53.00233:8795 56.04977:373378 56.33842:2291 61.45206:2314 84.04443:719735 84.08053:8504"	"185;197"	"1;2"
79	9.4	84.0808	"Unknown"	"55.05457:22571 56.04977:225356 62.16851:1801 67.0543:25426 69.05741:4667 81.75853:2133 82.06511:2658 84.04475:15534 84.08079:1171659"	"189"	"1"
80	5.26	84.1259	"Unknown"	"56.04984:2854 63.84057:1900 65.10923:237588 66.11147:2283 66.11246:2397 66.11546:114872 67.12328:583456 68.1295:44614 78.78309:2091 84.04446:11889 84.05611:8471 84.06366:16341 84.08077:19486 84.12591:256595"	NA	NA
81	6.52	84.9112	"Unknown"	"57.03386:2257 66.11555:8295 68.12954:12781 84.91124:2078695 85.02858:3157"	"182"	"0"
82	10.2	84.9597	"Unknown"	"51.31575:5231 55.74149:7348 55.97004:5703 56.96506:1258916 71.95188:243153 84.9597:1780519"	"193"	"1"
87	5.25	85.1321	"1_D9-TMAO iSTD"	"55.54623:21649 63.97789:22008 66.11548:8305900 68.12954:16020640 85.13219:7424508"	NA	NA
88	8.55	86.0569	"Unknown"	"52.94549:1750 53.00247:2939 58.06232:257871 66.27937:2101 85.05107:3365 86.05695:450225 86.09634:11538"	NA	NA
90	6.77	86.0964	"piperidine"	"53.00251:4325 54.58049:1578 58.0654:2279 61.8695:1816 62.72923:1563 67.35494:1808 69.06996:3640 83.24093:1924 86.05984:10896 86.09641:58407"	"222;335;223"	"2;12;2"
91	6.95	86.0964	"1,5-Pentanediamine"	"53.00268:4690 56.04972:13445 57.05756:40135 58.06541:18670 64.77525:1740 67.05433:3572 69.06999:195752 86.03185:12224 86.06027:11611 86.09644:188545"	"222;223;334;335"	"2;12;2;12"
94	6.52	86.9086	"Unknown"	"58.06544:2190 63.99093:1982 64.13243:1892 70.06537:12445 84.99892:2329 86.90867:1604035 87.09194:2550"	NA	NA
97	8.55	87.0632	"Unknown"	"51.66573:1984 53.00254:2593 53.99815:2078 54.0089:1981 59.06857:256239 59.40615:2200 70.06496:2211 86.05681:3059 87.06329:484243"	NA	NA
101	8.37	88.0695	"Morpholine"	"53.65824:1971 58.06542:3104 60.08086:2146 70.06515:61473 71.04922:2843 81.85704:1820 88.02186:2288 88.0757:397726 88.11197:28138"	NA	NA
102	1.36	88.0757	"2-Amino-2-methyl-1,3-propanediol"	"60.08102:9833 70.06518:21447 88.02151:8477 88.07571:517431 88.11206:117157"	"228"	"1"
103	5.4	88.0757	"2-Amino-2-methyl-1,3-propanediol"	"51.00145:1736 53.00263:1978 57.83887:2248 59.69755:2161 60.081:11929 70.06519:104779 74.68828:1778 88.02196:3539 88.07571:699790 88.11208:104221 88.11836:2075"	NA	NA
104	1.2	88.0757	"Unknown"	"53.56479:8552 70.06533:19431 81.27723:8761 88.07575:4168358 88.11196:115110"	"228"	"1"
105	3.18	88.1121	"Unknown"	"58.65487:2115 60.08089:18997 60.49786:2061 70.06519:29388 88.02162:7375 88.0757:497388 88.11205:160441"	NA	NA
106	1.36	88.1121	"Unknown"	"52.92447:1911 60.0809:15904 70.06522:32715 71.04937:1886 72.10622:1798 83.11136:2054 88.02159:7850 88.07571:510071 88.11208:151221"	NA	NA
107	3.67	88.1121	"Unknown"	"58.06585:1810 60.08114:15877 70.06522:30637 72.52982:2115 88.02169:4842 88.07573:492891 88.11209:132108"	NA	NA
111	8.37	89.0757	"Unknown"	"51.50168:2712 53.00249:3769 55.05459:3578 61.08109:314958 66.30325:2289 72.0808:21535 88.06948:13250 89.07579:608602"	NA	NA
114	9.03	89.1073	"Putrescine_[M+H]+_KIDHWZJUCRJVML-UHFFFAOYSA-N"	"55.05459:10366 72.08079:859691 72.25311:2278 83.04358:1802 89.07935:15549 89.10776:1989"	NA	NA
116	7.87	90.055	"beta-Alanine_[M+H]+_UCMIRNVEIXFBKS-UHFFFAOYSA-N"	"50.864:6625 90.05515:122489 90.07493:8606"	"260;266;291"	"3;4;7"
119	5.36	90.0914	"Unknown"	"56.04968:5380 57.05763:21368 59.69522:2233 67.51003:2465 70.06519:100275 72.0808:1360666 89.5813:3074 90.09137:738199 90.16219:2610"	"297;315;328;302;319;254"	"7;8;8;7;8;2"
120	5.89	90.0914	"4-Amino-1-butanol"	"53.03888:1926 55.05457:38163 67.5919:2063 72.08082:27834 73.0648:49124 74.97394:1709 77.30587:1713 90.09153:22592"	"268;316"	"4;8"
122	7.46	90.9766	"Unknown"	"62.98164:3153 91.05408:9325"	NA	NA
124	9.01	91.0581	"Unknown"	"63.98337:1918 73.04753:17813 90.79585:1924 91.05824:367120"	NA	NA
125	2.52	91.0692	"2,3-Butanediol"	"53.99189:2007 91.05537:20382 91.06922:430536"	NA	NA
126	2.84	91.0692	"Unknown"	"65.03887:2193 91.05527:17783 91.0692:310199"	NA	NA
127	9.4	91.1247	"Unknown"	"59.06853:26803 60.07476:23421 61.08091:3509 65.50585:1887 66.62899:1968 72.08578:1922 80.6009:1786 91.05388:4433 91.12477:332671 91.34543:2067"	NA	NA
128	8.27	92.0466	"p-Phenylenediamine"	"51.47251:1825 56.04675:2022 59.0685:2968 60.99686:1938 64.02985:16699 64.59997:1663 65.03588:16322 65.55703:1689 71.82937:1807 83.99379:2169 92.04668:393301"	NA	NA
131	9.4	92.131	"Unknown"	"59.26321:1948 60.0748:121621 61.08111:12835 61.09209:8142 61.85773:1995 64.11426:2127 64.46955:2712 73.0917:3335 73.93366:1759 87.84139:2266 92.131:842451"	NA	NA
132	7.87	93.0738	"1_D3-DL-Alanine iSTD"	"50.98299:1656 51.09817:1612 52.01511:1475 52.57105:1404 52.70242:1573 53.09092:1631 53.93564:1904 53.97002:1770 54.14386:1525 54.3213:1513 55.83443:1251 56.32151:1454 56.57659:1329 58.12381:1469 58.30698:1455 58.35253:1471 58.50739:1654 59.00664:1913 59.34755:1504 60.42404:1494 61.16421:1981 61.60184:1410 62.12745:1446 63.39719:1614 64.59039:1353 66.57948:1384 67.06113:1731 69.35876:1576 70.6494:1602 73.89478:1374 74.0145:1550 74.47885:1400 76.79956:1674 77.83862:1473 78.01007:1439 78.01555:1850 78.95037:1507 81.4071:1517 82.54359:1333 83.75254:1357 85.27674:1632 86.43188:1547 88.22819:1272 88.63008:1369 88.78073:1444 89.67686:1295 90.57528:1590 92.08029:1491 93.06857:1638 93.07393:27768 93.55446:1407"	"266;291"	"1;4"
133	3.45	94.0622	"aniline"	"52.0648:1672 53.03903:11646 53.6508:1744 53.74668:1834 59.06856:184793 60.075:2369 67.05447:1849 77.03563:40162 93.05743:2144 94.06528:358527"	NA	NA
138	7.98	95.0604	"3-Aminopyridine"	"56.16576:34193 60.42439:31084 67.04182:181237 68.04613:62616 68.04961:3495814 95.06042:16750052"	"275;288"	"1;2"
145	6.1	96.0807	"Unknown"	"53.03884:1842 55.05461:3694 64.60082:2104 67.31541:1773 68.04953:13639 69.07014:2882 79.05422:39883 81.05743:33803 82.38766:1783 93.68375:1669 94.06513:26772 96.04437:34477 96.08076:167981"	NA	NA
149	6.96	96.1592	"Unknown"	"50.14106:6723 52.84184:7109 57.48932:7045 59.91413:5738 60.07485:11519 60.58038:6385 62.08886:78041 62.60014:6212 64.10302:35764 78.12643:377798 79.05441:8099 96.04436:29927 96.08062:57325 96.15923:782232"	"335;334"	"2;2"
150	6.78	96.1592	"Unknown"	"50.09858:97463 51.79261:9431 54.01122:6952 75.88661:6987 78.12634:10657 79.05422:11064 81.05738:7742 94.06535:7400 96.04449:16091 96.08094:66198 96.15927:232595"	"335"	"2"
154	1.42	97.0397	"Unknown"	"51.01863:2044 61.50136:2073 62.37738:2021 69.04483:438185 79.05406:2351 79.7649:1805 95.02394:13307 97.03969:1118655 97.06467:22621 97.07607:48928 97.08357:4825"	NA	NA
156	3.79	97.076	"1,2-Dimethylimidazole"	"52.18653:2057 56.04978:40326 69.04481:2977 70.06508:1903 81.24614:2116 93.19437:2162 97.03961:7878 97.06464:27118 97.07605:665354"	NA	NA
167	1.22	100.0756	"N-Methyl-2-pyrrolidone"	"50.361:5864 55.05455:16009 56.04956:6407 58.029:309120 58.06533:64080 69.03357:241300 71.04925:30158 72.08104:14568 82.06517:65102 98.06006:45950 98.8662:8693 100.07567:6674183 100.11223:39106"	"361"	"1"
168	1.44	100.0757	"Unknown"	"55.05453:14471 56.04979:203011 57.07003:6341 58.02903:203498 58.06529:64100 69.03362:125333 71.04939:9585 71.70262:6836 72.06347:10608 72.08086:41523 82.06516:84766 98.06017:39776 100.07571:5141881 100.11197:48210"	"362"	"1"
169	4.44	100.0757	"Unknown"	"55.05447:25718 58.02901:213054 58.06538:54772 62.67592:4596 69.03359:127693 69.17233:4383 70.0654:7084 71.04926:8335 72.08074:22849 82.06507:51159 83.08562:50040 95.68176:5594 98.06016:32500 100.07568:3916145 100.11193:72161"	NA	NA
170	4.74	100.112	"Cyclohexanamine_[M+H]+_PAFZNILMFXTMIY-UHFFFAOYSA-N"	"50.44899:3341 55.05453:96874 58.029:191126 58.06542:44002 67.07284:3760 69.0336:118411 71.04922:8823 72.08084:18817 82.06525:49596 83.08553:154917 83.09124:6002 98.06006:24769 100.0757:3954145 100.11198:88269"	"386"	"3"
175	8.02	102.0549	"Unknown"	"56.04977:493345 57.03375:10399 57.07016:3643 58.06535:38018 60.04453:3995 60.081:3643 72.08086:19648 74.02396:2253 74.06001:10520 74.09641:98059 74.1011:3196 84.04444:31745 99.72743:1916 102.05494:62255 102.08076:2624 102.0914:18005 102.12775:586699"	NA	NA
176	8.56	102.055	".alpha.-Guanidinoglutaric acid"	"53.00272:6301 56.04976:641393 57.03387:7062 58.06545:22554 68.34219:4229 72.08083:9122 74.09641:101284 75.19388:4811 84.0444:1724718 85.02833:81502 102.05492:69198 102.0912:10991 102.12772:619435"	"411"	"3"
180	6.08	102.1277	"Triethylhexyammonium cation"	"57.07014:13857 58.06536:112883 58.39581:3293 60.04457:12329 60.08102:6726 65.44434:3074 65.91997:2882 70.19618:3469 72.08079:53329 74.09638:316298 83.23426:3529 84.08068:4310 96.80257:3581 102.0547:4846 102.0914:21536 102.12772:1967242"	NA	NA
181	1.36	102.1277	"Unknown"	"50.13471:1735 57.07014:15689 58.06538:62132 60.08104:44100 60.84978:2078 72.08078:30778 74.06006:9468 74.09642:170883 81.76089:1928 102.081:8803 102.09144:37783 102.12772:1059852"	NA	NA
182	3.15	102.1277	"Unknown"	"53.1909:1624 56.04971:2768 56.62809:1857 57.07016:7824 58.0654:74503 60.08104:14426 65.6179:2542 72.08087:31668 74.06011:10123 74.09644:184423 90.30859:2049 102.0808:9502 102.09137:30329 102.12775:1142024"	"391;390"	"1;1"
183	7.57	102.1277	"Unknown"	"55.65382:1967 56.04985:3557 57.07008:10243 58.06539:47024 59.07331:2861 60.04464:9327 60.0811:4482 66.72084:1966 70.99387:2384 72.08089:19903 73.24084:1994 74.06004:9604 74.09646:108665 89.65563:1984 96.45847:1732 102.05498:19755 102.08012:4589 102.09142:25830 102.12775:675692"	NA	NA
184	6.02	102.1278	"Unknown"	"57.07011:9496 58.06541:78024 58.06852:3970 58.42422:2337 60.08109:12212 72.08082:40485 74.06013:3777 74.09644:218526 102.08098:4740 102.09137:17282 102.12776:1360012"	NA	NA
185	2.68	102.1278	"Unknown"	"57.0062:3101 57.07031:3590 58.06539:103111 60.08102:61623 64.03162:3040 72.08092:48468 74.06017:3807 74.09647:302891 85.33784:3099 90.11779:3442 102.09171:35628 102.12778:1736954"	NA	NA
186	4.89	102.8212	"Unknown"	"56.55148:1780 60.04461:2131 60.08102:2131 62.35669:1806 75.09988:3808 85.03561:1834 103.12481:2762 103.13113:68270"	NA	NA
192	4.89	103.8153	"Unknown"	"58.06541:18694828 59.07324:5970660 60.08102:189701648 104.10699:800560896"	NA	NA
199	4.89	104.1069	"Choline [M]+_[M]+_OEYIOHPDSNJKLS-UHFFFAOYSA-N"	"50.94747:1806 58.06545:24453 59.0733:4113 60.08104:253193 62.92929:53640 86.09682:2086 102.55518:2104 103.00161:2068 103.73591:1959 104.10705:1025861"	"484;496;494;417;481;402"	"9;10;10;1;9;0"
201	8.41	104.107	"Choline [M]+"	"55.48451:5346 58.06537:61382 59.07335:7612 60.08102:577322 62.92929:11615 76.65367:5963 95.15059:5847 98.84147:6222 104.10701:2514114"	"503;418;504"	"10;1;10"
203	8.55	105.0738	"Styrene_[M+H]+_PPBRXRYQALVLMV-UHFFFAOYSA-N"	"55.84122:2347 58.0623:17112 59.06857:299131 59.76778:2979 86.05698:68390 87.06326:796506 88.04734:26253 105.07392:30797"	NA	NA
204	4.89	105.4169	"Unknown"	"56.89868:45391 58.06528:388195 59.06879:440393 59.07286:74516 60.07758:86186 60.08104:4420150 61.0781:632106 61.08435:5981027 61.08724:247398 71.19226:46235 78.52815:48489 105.10459:2196358 105.1105:41548884"	NA	NA
206	1.04	106.0321	"N-(Methyl)mercaptoacetamide"	"64.92745:17311 70.05792:1933 72.04447:526549 82.39822:1965 88.02167:46440 106.03219:144152 106.06543:7558 106.0731:3386"	NA	NA
207	8.42	106.0499	"Serine _[M+H]+_MTCFGRXMJLQNBG-REOHCLBHSA-N"	"50.76818:2152 58.29384:1881 60.04462:752832 64.92728:2733 70.0235:1552 70.02876:16070 88.03931:117629 88.06981:2362 106.04989:37587 106.11281:3616"	"458;491"	"5;8"
210	6.76	106.0863	"Lauric acid diethanolamide"	"60.04468:2911 62.06033:3543 64.92731:4544 65.86189:1862 68.04964:1907 70.06522:179641 71.64342:1687 88.07574:219160 91.53368:1753 106.08636:177348"	NA	NA
213	4.89	106.1105	"Unknown"	"58.06549:17632 59.06887:2807 59.07322:3353 60.08101:211960 61.07826:4698 61.08434:72579 61.08776:3069 62.08131:11015 62.08755:31438 62.09064:3284 64.92752:18020 71.13824:1781 106.11192:1077510"	NA	NA
219	8.03	107.0863	"Unknown"	"60.07481:61920 60.99187:2022 61.05886:11353 61.08109:979588 62.0651:21097 63.09681:8234 75.03014:3642 76.03625:3283 79.09159:8090 80.04943:5003 89.07581:86584 96.66551:1822 107.04918:7456 107.06071:9867 107.0864:127015"	NA	NA
223	4.9	108.1321	"Unknown"	"58.0654:90160 59.07318:38974 60.08104:662559 61.08727:385605 108.0808:52287 108.13207:6421763"	"484;496;494;446;481"	"5;6;6;1;5"
224	8.43	109.0687	"Unknown"	"51.80838:12325 53.24454:11047 63.06338:3741409 64.44056:11941 72.8776:11588 79.5506:12313 91.05814:542357 109.06872:179431"	"458;491"	"2;5"
225	7.06	109.076	"3-Methyl-L-histidine"	"52.44862:2078 52.46814:2076 56.13441:1737 60.27632:1784 65.03888:2172 67.04179:16195 68.04961:112780 76.39089:2333 79.50008:1972 80.04944:2627 82.06517:42348 86.62119:1987 109.0761:558594"	NA	NA
228	1.12	109.1012	"trans-1,4-Cyclohexanedimethanol"	"52.75237:1652 55.05453:16907 60.84354:1916 64.70599:1706 65.03882:4160 65.21107:1948 67.05436:236208 69.0199:2050 69.06999:8304 72.60323:1820 78.57381:2079 79.05434:10036 81.06992:67247 94.07767:2293 107.08562:9634 109.06485:9406 109.07613:13121 109.0841:11561 109.10125:176211"	NA	NA
229	9.85	110.0087	"Unknown"	"53.39755:1982 56.15067:2135 68.83057:1959 68.98225:60169 82.01377:43931 86.99275:154984 100.02434:225057 105.00331:407479 110.00862:2900 110.06015:19922"	"456;457"	"1;1"
230	7.84	110.027	"Hypotaurine"	"63.61843:2382 77.03779:2042 92.01652:136214 97.272:1874 109.90842:1737 110.02707:112526 110.06004:19842 110.0963:4013"	NA	NA
231	9.2	110.0713	"N-.alpha.-(tert-Butoxycarbonyl)-L-histidine"	"53.97003:1803 56.04975:25408 57.46799:2110 77.84901:2017 81.04464:12550 82.05252:2771 83.06036:182156 86.99272:2145 93.04474:140682 109.91583:1861 110.06068:17365 110.07126:382622"	"474;556"	"3;8"
238	6.03	111.0916	"Unknown"	"63.23312:1782 64.35138:1844 68.04949:2851 70.06519:76931 83.0603:3638 111.05542:9686 111.09168:393187 111.4501:1985"	NA	NA
243	6.62	112.0505	"Unknown"	"55.36668:1946 69.04482:22799 69.44547:1800 70.0653:3529 94.0399:9863 95.02403:58608 95.06037:2755 97.36736:2143 99.68364:1863 100.447:2100 104.91898:2023 112.05052:554985 112.09546:22171 112.11192:11991"	"513;528"	"3;4"
244	5.52	112.0505	"Cytosine_[M+H]+_OPTASPLRGRRNAP-UHFFFAOYSA-N"	"50.29858:1714 51.49026:1822 55.05418:2171 56.50561:2019 69.04489:23725 70.06512:13030 73.26942:1842 84.39275:1994 88.36515:1983 94.04008:4803 95.02402:56097 98.30325:2090 100.06107:1956 112.05054:564880 112.09498:11097 112.11208:22285"	"512;530;529"	"3;4;4"
246	5.7	112.0505	"Unknown"	"60.03:1874 63.1981:1788 68.04935:2276 69.04476:19070 70.06524:4275 78.01438:2089 83.06039:10700 94.03984:3655 95.02394:53813 95.06037:164673 112.05054:486310 112.08691:47101 112.09524:10532 112.11174:14293"	"512;530"	"3;4"
247	7.98	112.0868	"Histamine_[M+H]+_NTYJJOPFIAHURM-UHFFFAOYSA-N"	"62.21123:19559 68.04963:262581 83.06036:917279 95.06039:10977697 96.96692:21921 97.9454:18311 112.08693:3103079"	"490;535;517;534"	"2;4;3;4"
249	6.37	112.0869	"Unknown"	"58.0654:3440 69.0701:2445 70.06516:3083 71.06866:2400 71.95383:1746 74.47517:1813 79.07353:1612 99.12462:1981 112.03939:2750 112.05077:11623 112.07616:3015 112.09518:19857 112.11205:20618"	NA	NA
252	4.87	112.1573	"Unknown"	"51.12883:1916 55.06867:1891 61.76121:2366 64.92667:2092 65.10932:9310 66.11551:2919 67.12329:8967 68.1311:237925 69.13736:90118 69.14136:4399 70.06526:3699 76.10066:2236 87.39666:1944 112.03974:3319 112.05058:15024 112.07624:2230 112.09527:14674 112.11235:26385 112.1572:1043165"	"494;481"	"2;1"
255	6.63	112.8956	"Unknown"	"56.04967:2851 58.06543:8042 58.34187:1699 60.56533:1615 63.92785:1762 65.25202:1715 70.0652:68570 72.08084:3420 79.63617:1968 81.05725:1779 84.0808:2725 96.08083:56305 111.92368:1941 112.89587:32704 113.05367:4549 113.10737:118064"	NA	NA
257	6.79	112.8957	"Unknown"	"51.38607:1827 55.72712:2331 56.04984:3063 57.07247:2015 58.06538:8129 60.87228:1633 70.06524:67109 72.08083:2488 89.02275:1787 95.06057:1968 96.04427:2676 96.08088:51380 111.95969:1773 112.89583:42109 113.07067:3671 113.09844:4193 113.10734:101959 113.16359:3502"	NA	NA
261	0.93	113.0596	"1,4-Cyclohexanedione_[M+H]+_DCZFGQYXRKMVFG-UHFFFAOYSA-N"	"55.01814:298333 55.08057:1731 67.05438:2820 70.06519:34865 81.25646:2187 96.0807:33694 113.05972:43979 113.10733:23456"	NA	NA
265	6.92	113.1072	"2-Imino-4-methylpiperidine"	"51.70407:2128 52.39119:2112 54.46076:1730 56.04979:12597 58.06535:12362 62.89016:1896 70.06521:80509 72.08073:2375 79.05426:2161 81.05725:1865 84.06873:2039 84.08089:14679 95.06043:2889 96.08077:59564 112.89559:14548 113.10731:460364 113.16312:3595"	NA	NA
267	7.59	113.1073	"Unknown"	"56.04986:3559 58.06528:10929 70.06521:114360 72.08086:3492 74.05124:1678 79.05381:2966 81.05714:3160 96.08077:100845 112.99978:42548 113.071:2195 113.10735:79342"	"544"	"4"
268	4.87	113.1633	"1_D9-Choline iSTD"	"50.41493:34833 56.25751:35167 64.10303:82855 66.11559:304726 68.12959:137754 69.13737:6223698 113.16346:28546958"	"494;481"	"1;0"
270	4.49	114.0663	"Creatinine_[M+H]+_DDRJAANPRJIHGJ-UHFFFAOYSA-N"	"50.44548:13460 63.93232:14133 66.50954:18268 72.04453:58644 86.07133:509332 104.08202:63008 114.06631:4039471 114.09129:61398"	"539"	"3"
271	7.86	114.0663	"Unknown"	"53.31646:1761 67.87979:1847 70.06538:3413 72.04455:7868 72.08076:14907 72.18577:1898 79.05443:2190 86.0602:3876 86.07127:28583 91.05738:7406 91.39159:1643 97.08388:3497 104.08189:4411 114.06627:326938 114.0914:49237 114.11076:2450"	NA	NA
272	1.29	114.0913	"6-Aminocaproic acid"	"55.01828:3472 55.05453:4611 58.06543:2532 67.05447:4341 68.04961:10170 69.06996:70459 70.06516:4770 71.04922:4487 71.08548:8253 72.08079:22486 79.05421:89954 84.08083:3242 86.05996:3355 86.09642:7987 91.05748:3799 96.08074:68552 97.06497:27803 109.81891:2535 114.09134:990903"	"533"	"2"
